YEAR,STATE NAME,CONSTITUENCY NAME,CONSTITUENCY NO,WINNER CANDIDATE NAME,GENDER,PARTY NAME,PARTY SYMBOL,TOTAL ELECTORS,TOTAL NUMBER OF VOTERS (MARGIN),VOTE %,Category,TOTAL NUMBER OF VOTE CASTED
1978,Maharashtra,,26,Jamkhanawala Mohammad Ishaq Abedin,M,Janata Party,Haldhar within Wheel (Chakra),106695,18822,54.94%,GEN,58999
1978,Maharashtra,,27,Kamat Dinanath Gajanan,M,Janata Party,Haldhar within Wheel (Chakra),98645,17422,47.13%,GEN,63913
1978,Maharashtra,,28,Vasu Desai,M,Janata Party,Haldhar within Wheel (Chakra),122022,27291,50.66%,GEN,87147
1978,Maharashtra,,29,Kamble Devidas Pundlik,M,Independent,Free Symbol,119729,13074,36.69%,GEN,77974
1978,Maharashtra,,30,Kurane Pralhad Krushna,M,Communist Party Of India (Marxist),Ears of Corn and Sickle,111146,24680,52.66%,GEN,71148
1978,Maharashtra,,31,N.K. Savant,M,Janata Party,Haldhar within Wheel (Chakra),115020,16148,44.35%,GEN,78990
1978,Maharashtra,,32,Hemachandra Shankar Gupte,M,Janata Party,Haldhar within Wheel (Chakra),119138,22748,46.22%,GEN,84121
1978,Maharashtra,,33,Kohli Sohansingh Jodhsingh,M,Janata Party,Haldhar within Wheel (Chakra),120247,31612,58.95%,GEN,70515
1978,Maharashtra,,34,Pinto Frederick Michael,M,Janata Party,Haldhar within Wheel (Chakra),111352,34224,64.39%,GEN,66428
1978,Maharashtra,,35,Satyendra More,M,Communist Party Of India (Marxist),Ears of Corn and Sickle,137434,20402,49.50%,SC,73045
1978,Maharashtra,,36,Varde Sadanand Shankar,M,Janata Party,Haldhar within Wheel (Chakra),116901,34363,67.95%,GEN,65110
1978,Maharashtra,,37,Ramdas Nayak,M,Janata Party,Haldhar within Wheel (Chakra),110405,19017,50.99%,GEN,72271
1978,Maharashtra,,38,Pranlal Vora,M,Janata Party,Haldhar within Wheel (Chakra),124372,36702,66.60%,GEN,69638
1978,Maharashtra,,39,Ramesh Sheth,M,Janata Party,Haldhar within Wheel (Chakra),133771,20384,49.14%,GEN,78038
1978,Maharashtra,,40,Sinha Shobhanath Ramgajdhar,M,Janata Party,Haldhar within Wheel (Chakra),132449,31922,53.24%,GEN,79909
1978,Maharashtra,,41,Nilkant Samant,M,Janata Party,Haldhar within Wheel (Chakra),145364,18747,44.79%,GEN,83914
1978,Maharashtra,,42,Samant Padmakar Balkrishna,M,Janata Party,Haldhar within Wheel (Chakra),121896,36998,64.83%,GEN,76400
1978,Maharashtra,,43,Kamal Desai,F,Janata Party,Haldhar within Wheel (Chakra),142183,32736,58.04%,GEN,81715
1978,Maharashtra,,44,Upadhyaya Hasmukhbhai Vasantray,M,Janata Party,Haldhar within Wheel (Chakra),139069,38881,77.52%,GEN,67654
1978,Maharashtra,,45,Ram Naik,M,Janata Party,Haldhar within Wheel (Chakra),141358,45077,67.26%,GEN,89967
1978,Maharashtra,,46,S.Balakrishnan,M,Republican Party Of India (Khobragade),Elephant,144645,1425,29.39%,GEN,81072
1978,Maharashtra,,47,Adwani Hashu Parasram,M,Janata Party,Haldhar within Wheel (Chakra),124078,23731,56.32%,GEN,76404
1978,Maharashtra,,48,Liyaqat Husain Ibarat Husain,M,Janata Party,Haldhar within Wheel (Chakra),118087,14630,38.29%,GEN,69441
1978,Maharashtra,,49,Khan Shamsul Haq,M,Janata Party,Haldhar within Wheel (Chakra),145340,10183,36.24%,GEN,93261
1978,Maharashtra,,50,Parekh Jayantilal Gambhirdas,M,Janata Party,Haldhar within Wheel (Chakra),124010,28199,50.32%,GEN,80296
1978,Maharashtra,,51,Sanzgiri Prabhakar Pandurang,M,Communist Party Of India (Marxist),Ears of Corn and Sickle,148783,28153,48.66%,GEN,98036
1978,Maharashtra,,52,Patwardhan Prabhakar Ramchandar,M,Janata Party,Haldhar within Wheel (Chakra),147865,38796,58.94%,GEN,95118
1978,Maharashtra,,53,Koli Gajanan Motiram,M,Janata Party,Haldhar within Wheel (Chakra),134014,28892,54.72%,GEN,89767
1978,Maharashtra,,54,Bhoir Gautam Posha,M,Janata Party,Haldhar within Wheel (Chakra),118920,13804,39.27%,GEN,71351
1978,Maharashtra,,55,Harchandani Sitaldas Khub Chand,M,Janata Party,Haldhar within Wheel (Chakra),110635,18930,56.91%,GEN,69072
1978,Maharashtra,,56,Patil Jagannath Shivram,M,Janata Party,Haldhar within Wheel (Chakra),121809,9617,47.42%,GEN,69769
1978,Maharashtra,,57,Kapse Ramchandra Ganesh,M,Janata Party,Haldhar within Wheel (Chakra),141719,36261,54.22%,GEN,95782
1978,Maharashtra,,58,Gholap Shantaram Gopal,M,Indian National Congress,Hand,97908,17450,61.45%,GEN,68737
1978,Maharashtra,,59,Wani Somnath Rama,M,Janata Party,Haldhar within Wheel (Chakra),115455,11942,46.51%,ST,62323
1978,Maharashtra,,60,Taware Parshuram Dhondu,M,Independent,Free Symbol,122952,2174,30.20%,GEN,68785
1978,Maharashtra,,61,Choudhari Pandharinath Raghunath,M,Janata Party,Haldhar within Wheel (Chakra),115526,17751,58.03%,GEN,84721
1978,Maharashtra,,62,Arjun Kakadya Shingade,M,Janata Party,Haldhar within Wheel (Chakra),100765,15701,58.24%,ST,56034
1978,Maharashtra,,63,Chavan Shankar Marya,M,Communist Party Of India (Marxist),Ears of Corn and Sickle,108031,4710,47.73%,ST,54944
1978,Maharashtra,,64,Kurhada Barkya Lakhya,M,Communist Party Of India (Marxist),Ears of Corn and Sickle,111921,12650,54.08%,ST,55352
1978,Maharashtra,,65,Telam Krishnakant Ramachandra,M,Peasant'S & Workers' Party,Other,92901,1655,49.98%,ST,41648
1978,Maharashtra,,66,Wagh Bhau Sakru,M,Indian National Congress (I),Hand,103798,7270,38.39%,ST,52408
1978,Maharashtra,,67,Upadhye Vasant Ganesh,M,Janata Party,Haldhar within Wheel (Chakra),125118,1808,42.50%,GEN,77206
1978,Maharashtra,,68,Ahire Baburao Soma (Babla),M,Independent,Free Symbol,107831,23133,60.54%,SC,62468
1978,Maharashtra,,69,Gadakh Suryabhan Sukhdeo,M,Independent,Free Symbol,99967,13050,52.42%,GEN,69167
1978,Maharashtra,,70,Patil Vinayakrao Pudlikrao,M,Indian National Congress,Hand,102261,28529,68.52%,GEN,74893
1978,Maharashtra,,71,Patil Janardan Deoram,M,Independent,Free Symbol,102376,3630,37.05%,GEN,65941
1978,Maharashtra,,72,Nahar Kanhiyalal Chunilal,M,Independent,Free Symbol,107848,243,30.93%,GEN,68686
1978,Maharashtra,,73,Nehal Ahmed Md. Usman,M,Janata Party,Haldhar within Wheel (Chakra),110620,28045,57.55%,GEN,82084
1978,Maharashtra,,74,Hiray Baliram Vaman,M,Indian National Congress (I),Hand,92318,7882,48.53%,GEN,67837
1978,Maharashtra,,75,Dawakhar Kisanrao Damodar,M,Janata Party,Haldhar within Wheel (Chakra),94838,2332,35.77%,GEN,64769
1978,Maharashtra,,76,Gaikwad Bhagawant Dharmaji,M,Indian National Congress (I),Hand,100966,11220,41.61%,ST,56044
1978,Maharashtra,,77,Gavit Jiva Pandu,M,Communist Party Of India (Marxist),Ears of Corn and Sickle,90048,595,16.28%,ST,46243
1978,Maharashtra,,78,Pawar Arjun Tulsiram,M,Indian National Congress,Hand,96211,19333,58.33%,ST,53521
1978,Maharashtra,,79,Pawar Laxman Totram,M,Indian National Congress (I),Hand,96612,15614,49.93%,ST,62073
1978,Maharashtra,,80,Malusare Sukram Bhurya,M,Indian National Congress (I),Hand,109112,1029,33.25%,ST,58850
1978,Maharashtra,,81,Vasave Zina Samya,M,Indian National Congress (I),Hand,107229,5456,41.95%,ST,58569
1978,Maharashtra,,82,Valvi Ramesh Panya,M,Indian National Congress,Hand,112039,12431,58.56%,ST,72621
1978,Maharashtra,,83,Dilavarsing Padvi,M,Janata Party,Haldhar within Wheel (Chakra),84633,1363,30.54%,ST,49006
1978,Maharashtra,,84,Jadhav Shankar Fugara,M,Janata Party,Haldhar within Wheel (Chakra),79454,6215,38.83%,ST,43249
1978,Maharashtra,,85,Rawal Jaydevsinh Jaysinh,M,Indian National Congress,Hand,103158,2346,43.80%,GEN,76614
1978,Maharashtra,,86,Pralhadrao Madhavrao Patil,M,Janata Party,Haldhar within Wheel (Chakra),97117,11450,54.42%,GEN,71072
1978,Maharashtra,,87,Shisode Madhukarrao Dipchand,M,Independent,Free Symbol,97478,2078,29.45%,GEN,68027
1978,Maharashtra,,88,Patil Rohidas Chudaman,M,Indian National Congress (I),Hand,102480,18375,46.50%,GEN,68541
1978,Maharashtra,,89,Khopade Kisanrao Manikrao,M,Indian National Congress (I),Hand,105075,8005,36.71%,GEN,67916
1978,Maharashtra,,90,Chavan Dinkar Diwan,M,Indian National Congress,Hand,113638,14569,54.91%,SC,62179
1978,Maharashtra,,91,Uttamrao Patil,M,Janata Party,Haldhar within Wheel (Chakra),118788,15417,53.14%,GEN,77090
1978,Maharashtra,,92,Patil Gulabrao Wamanrao,M,Janata Party,Haldhar within Wheel (Chakra),116746,22714,56.71%,GEN,77048
1978,Maharashtra,,93,Chaudhari Madhavrao Kautik,M,Janata Party,Haldhar within Wheel (Chakra),93939,315,36.04%,GEN,65585
1978,Maharashtra,,94,Patil Mahendrasinh Dharmsinh,M,Janata Party,Haldhar within Wheel (Chakra),110326,6562,33.66%,GEN,76724
1978,Maharashtra,,95,Jain Ishwarlal Shankarlal,M,Indian National Congress (I),Hand,115451,7415,40.31%,GEN,74677
1978,Maharashtra,,96,Wagh Onkar Narayan,M,Janata Party,Haldhar within Wheel (Chakra),110538,8252,55.29%,GEN,78008
1978,Maharashtra,,97,Garud Gajananrao Raghunathrao,M,Independent,Free Symbol,99965,2419,24.88%,GEN,64139
1978,Maharashtra,,98,Bhole Devidas Namdeo,M,Indian National Congress,Hand,119536,6979,32.97%,GEN,67763
1978,Maharashtra,,99,Choudhari Sindhu Parth,F,Janata Party,Haldhar within Wheel (Chakra),100336,4404,36.29%,GEN,66190
1978,Maharashtra,,100,Choudhari M.D.,M,Indian National Congress,Hand,101318,9674,36.19%,GEN,74497
1978,Maharashtra,,101,Pratibha Devising Patil,F,Indian National Congress,Hand,104622,699,42.87%,GEN,73668
1978,Maharashtra,,102,Wankhade Arjun Awdhut,M,Janata Party,Haldhar within Wheel (Chakra),100347,5257,45.95%,GEN,75438
1978,Maharashtra,,103,Patil Shivajirao Bhiku,M,Indian National Congress (I),Hand,109901,9351,43.70%,GEN,81241
1978,Maharashtra,,104,Bondre Janardan Dattuappa,M,Indian National Congress (I),Hand,109168,178,32.45%,GEN,85617
1978,Maharashtra,,105,Kharat Jayawantrao Kaluji,M,Indian National Congress (I),Hand,103298,7520,34.30%,GEN,80570
1978,Maharashtra,,106,Saoji Subodh Kesh Keshaosa,M,Indian National Congress (I),Hand,98580,22315,53.04%,GEN,73839
1978,Maharashtra,,107,Phundkar Pandurang Pundlik,M,Janata Party,Haldhar within Wheel (Chakra),115269,7337,32.26%,GEN,80071
1978,Maharashtra,,108,Dhokane Tulshiram Pandhari,M,Peasant'S & Workers' Party,Other,102921,1393,36.34%,GEN,72165
1978,Maharashtra,,109,Gangane Sudhakar Ramkrushna,M,Indian National Congress (I),Hand,94361,12507,50.81%,GEN,72035
1978,Maharashtra,,110,Apotikar Manikrao Ramchandra,M,Indian National Congress (I),Hand,106117,25052,61.12%,GEN,73615
1978,Maharashtra,,111,Khan Mohammad Azhar Hussain,M,Indian National Congress (I),Hand,108687,12997,51.14%,GEN,72067
1978,Maharashtra,,112,Gujarathi Prakashchandra Alias Banduseth Nattulal,M,Indian National Congress (I),Hand,103114,4035,31.79%,GEN,70673
1978,Maharashtra,,113,Shinde Vitthalrao Kondji,M,Indian National Congress (I),Hand,90778,17328,52.20%,GEN,70020
1978,Maharashtra,,114,Wankhede Bhaurao Nagorao,M,Indian National Congress (I),Hand,92761,13249,49.07%,SC,52569
1978,Maharashtra,,115,Patil Anantkumar Kishanrao,M,Peasant'S & Workers' Party,Other,101293,4758,37.00%,GEN,76863
1978,Maharashtra,,116,Thakare Dhyandeorao Mukundrao,M,Indian National Congress (I),Hand,99451,2506,40.72%,GEN,73988
1978,Maharashtra,,117,Arvind Kamlkar Deshmukh,M,All India Forward Block,Free Symbol,92685,24578,56.00%,GEN,68894
1978,Maharashtra,,118,Bobade Shankarrao Krushnarao,M,All India Forward Block,Free Symbol,95030,25343,52.19%,GEN,72845
1978,Maharashtra,,119,Patel Ramu Mhatang,M,Indian National Congress (I),Hand,97307,20554,61.09%,ST,57291
1978,Maharashtra,,120,Bhokare Waman Rajirao,M,Independent,Free Symbol,108430,732,30.12%,GEN,80284
1978,Maharashtra,,121,Ande Manadeorao Sadashio,M,Indian National Congress (I),Hand,94022,38117,67.30%,GEN,71337
1978,Maharashtra,,122,Thakur Chandrakant Ramchandra,M,Independent,Free Symbol,90810,26490,59.84%,GEN,69276
1978,Maharashtra,,123,Sable Bhau Bapurao,M,Indian National Congress (I),Hand,96664,35530,66.11%,GEN,69259
1978,Maharashtra,,124,Bhuyar Surendra Chhatrapal,M,Indian National Congress (I),Hand,116603,18211,50.60%,GEN,76098
1978,Maharashtra,,125,Yadao Mangaldas Bholaram,M,Indian National Congress (I),Hand,96699,28920,58.87%,GEN,69356
1978,Maharashtra,,126,Savalakhe Sudhakar Ramchandra,M,Indian National Congress (I),Hand,94243,39966,71.01%,GEN,74109
1978,Maharashtra,,127,Chudiwala Shivchand Gowardhandas,M,Independent,Free Symbol,118317,52278,70.92%,GEN,90474
1978,Maharashtra,,128,Sow Pradha Rao,F,Indian National Congress (I),Hand,108201,42517,69.69%,GEN,82980
1978,Maharashtra,,129,Shende Pramod Bhauraoji,M,Indian National Congress (I),Hand,108811,30159,64.43%,GEN,81122
1978,Maharashtra,,130,Kolhe Deoraoji Zolbaji,M,Indian National Congress (I),Hand,121997,35442,60.86%,GEN,93107
1978,Maharashtra,,131,Dakate Purushottam Mansaram,M,Indian National Congress (I),Hand,113791,30644,55.99%,GEN,77110
1978,Maharashtra,,132,Bhosle Tajsingrao Rajelaxmanrao,M,Indian National Congress (I),Hand,113895,25491,53.66%,GEN,77488
1978,Maharashtra,,133,Dongare Suryakant Jogobaji,M,Republican Party Of India (Khobragade),Elephant,113340,2477,46.16%,SC,74945
1978,Maharashtra,,134,Purohit Banwarilal Bhagwandas,M,Indian National Congress (I),Hand,128859,44729,63.83%,GEN,88906
1978,Maharashtra,,135,Vanjari Govindrao Marotrao,M,Indian National Congress (I),Hand,108505,17657,56.81%,GEN,79261
1978,Maharashtra,,136,Surve Bhausaheb Sitaram,M,Indian National Congress (I),Hand,104718,3603,40.50%,GEN,75682
1978,Maharashtra,,137,Mulak Bhaurao Govindrao,M,Indian National Congress (I),Hand,122306,12094,52.49%,GEN,86928
1978,Maharashtra,,138,Gaikwad Bhagvantrao Manikrao,M,All India Forward Block,Free Symbol,103371,43323,71.00%,GEN,77753
1978,Maharashtra,,139,Mankar Mukundrao Govindrao,M,Indian National Congress (I),Hand,93950,14593,51.15%,GEN,71950
1978,Maharashtra,,140,Naik Ramji Chiman,M,Indian National Congress (I),Hand,100720,12994,49.75%,GEN,74433
1978,Maharashtra,,141,Mahajan Gunderao Fakiraji,M,Indian National Congress (I),Hand,110401,5185,38.86%,GEN,73438
1978,Maharashtra,,142,Karemore Subhaschandra Narayanrao,M,Indian National Congress (I),Hand,99771,17508,43.41%,GEN,77145
1978,Maharashtra,,143,Dube Vithalprasad Sitaram,M,Indian National Congress (I),Hand,96897,8391,40.89%,GEN,74880
1978,Maharashtra,,144,Tighare Vithalrao Sakharamji,M,Indian National Congress (I),Hand,104968,10816,39.20%,GEN,76521
1978,Maharashtra,,145,Wasnik Laxminarayan Ganpat,M,Indian National Congress (I),Hand,112310,13763,50.79%,SC,80272
1978,Maharashtra,,146,Bajpayee Kajkumari Gopalnarayan,F,Indian National Congress (I),Hand,111636,18696,51.88%,GEN,76578
1978,Maharashtra,,147,Nagpure Girijashankarsinh Hemrajsinh,M,Indian National Congress (I),Hand,102804,10556,54.58%,GEN,78403
1978,Maharashtra,,148,Shiwankar Mahadeorao Sukaji,M,Janata Party,Haldhar within Wheel (Chakra),114015,6530,47.38%,GEN,75407
1978,Maharashtra,,149,Bedarkar Madukar Tulshiramji,M,Indian National Congress (I),Hand,110591,3815,45.40%,GEN,87905
1978,Maharashtra,,150,Bhaiya Hirala Nathmalji,M,Indian National Congress (I),Hand,114826,4562,43.34%,GEN,88041
1978,Maharashtra,,151,Narnaware Dinaji Vithobaji,M,Independent,Free Symbol,105133,10990,46.52%,ST,65295
1978,Maharashtra,,152,Madavi Dewaji Tanu,M,Indian National Congress (I),Hand,99163,2089,44.31%,ST,59772
1978,Maharashtra,,153,Meshram Bhagwanshaha Jiwanshaha,M,Independent,Free Symbol,90230,36384,81.14%,ST,51354
1978,Maharashtra,,154,Musale Baburao Janardhan,M,Janata Party,Haldhar within Wheel (Chakra),110803,5913,43.11%,GEN,71415
1978,Maharashtra,,155,Pugliya Nareskumar Chunnalal,M,Indian National Congress (I),Hand,117124,13161,47.44%,GEN,80140
1978,Maharashtra,,156,Bhandekar Deorao Bhayyaji,M,Indian National Congress (I),Hand,104143,4604,36.62%,GEN,77743
1978,Maharashtra,,157,Bhendarkar Baburao Shrawanji,M,Indian National Congress (I),Hand,118334,32664,61.37%,GEN,89155
1978,Maharashtra,,158,Sonwane Adkuji Shiwaji,M,Indian National Congress (I),Hand,119134,30686,60.77%,GEN,90694
1978,Maharashtra,,159,Nilkanthrao Yeshwantrao Shinde,M,Indian National Congress (I),Hand,114739,22459,54.83%,GEN,82935
1978,Maharashtra,,160,Panghate Bapurao Harbaji,M,Indian National Congress (I),Hand,101153,36645,67.59%,GEN,74190
1978,Maharashtra,,161,Dhurve Sudhakarrao Bakaramji,M,Indian National Congress (I),Hand,109433,51738,79.19%,ST,72493
1978,Maharashtra,,162,Masram Lakhuji Marotrao,M,Indian National Congress (I),Hand,91922,29930,67.14%,ST,66797
1978,Maharashtra,,163,Dhote Jambuwantrao Baparao,M,Independent,Free Symbol,102658,39954,73.78%,GEN,75370
1978,Maharashtra,,164,Mandhana Harinarayan Rameshwar,M,Independent,Free Symbol,100860,26976,59.55%,GEN,75897
1978,Maharashtra,,165,Yemadwar Nanasaheb Narayanrao,M,Independent,Free Symbol,107321,33205,59.48%,GEN,82464
1978,Maharashtra,,166,Naik Sudhakarrao Rajusing,M,Indian National Congress,Hand,102672,11527,53.29%,GEN,81606
1978,Maharashtra,,167,Deosarkar Anantrao Apparao,M,Indian National Congress,Hand,101067,9002,44.16%,GEN,78811
1978,Maharashtra,,168,Rathod Uttamrao Baliramji,M,Indian National Congress,Hand,92812,6863,41.22%,GEN,67356
1978,Maharashtra,,169,Pawar Niwruttirao Mahadji,M,Janata Party,Haldhar within Wheel (Chakra),104242,6,39.21%,GEN,74237
1978,Maharashtra,,170,Noorallah Khan Bismillah Khan,M,Janata Party,Haldhar within Wheel (Chakra),123289,5842,35.21%,GEN,73345
1978,Maharashtra,,171,Chandrakant Govindrao Maski,M,Janata Party,Haldhar within Wheel (Chakra),108492,10087,39.02%,GEN,65523
1978,Maharashtra,,172,Chavan Shankarrao Bhaurao,M,Independent,Free Symbol,100713,11251,50.77%,GEN,68727
1978,Maharashtra,,173,Patne Gangadhar Mahalappa,M,Janata Party,Haldhar within Wheel (Chakra),126279,8771,51.53%,GEN,81290
1978,Maharashtra,,174,Ghate Madhukarrao Rangojirao,M,Independent,Free Symbol,120773,11938,42.38%,SC,58520
1978,Maharashtra,,175,Kurude Gurunathrao Manikrao,M,Peasant'S & Workers' Party,Other,118155,10403,43.58%,GEN,68443
1978,Maharashtra,,176,Gaikwad Dnyanoba Hari,M,Peasant'S & Workers' Party,Other,100702,3298,37.99%,SC,44641
1978,Maharashtra,,177,Gawli Uttamrao Abaji,M,Indian National Congress,Hand,97160,5979,33.61%,GEN,56107
1978,Maharashtra,,178,Jamkar Raosaheb Bapusaheb,M,Indian National Congress,Hand,103782,2084,41.50%,GEN,61935
1978,Maharashtra,,179,Deshmukh Panditrao Ramrao,M,Janata Party,Haldhar within Wheel (Chakra),110699,9448,41.32%,GEN,61911
1978,Maharashtra,,180,Maske Vithalrao Champatrao,M,Communist Party Of India (Marxist),Ears of Corn and Sickle,110103,19939,59.25%,GEN,63984
1978,Maharashtra,,181,Galande Dagdu Yeshwantrao,M,Janata Party,Haldhar within Wheel (Chakra),109984,121,40.55%,GEN,68373
1978,Maharashtra,,182,Rathi Gulabchand Nandlaji,M,Peasant'S & Workers' Party,Other,105119,626,31.62%,GEN,54538
1978,Maharashtra,,183,Nakhate Sakharam Golpalrao,M,Indian National Congress,Hand,92130,1610,27.79%,GEN,52008
1978,Maharashtra,,184,Borade Ramprasadji Vithalrao,M,Indian National Congress (I),Hand,101208,6239,31.49%,GEN,61273
1978,Maharashtra,,185,Bapusaheb Sakharam Solunke,M,Janata Party,Haldhar within Wheel (Chakra),107796,7187,39.97%,GEN,65493
1978,Maharashtra,,186,Kisanrao Pandharnath Bhise,M,Indian National Congress (I),Hand,113355,17208,49.46%,GEN,66130
1978,Maharashtra,,187,Kolkar Shankarrao Limbajirao,M,Indian National Congress (I),Hand,111954,10037,35.91%,GEN,65349
1978,Maharashtra,,188,Vithalrao Ramsing Patil,M,Janata Party,Haldhar within Wheel (Chakra),111621,15805,47.44%,GEN,69543
1978,Maharashtra,,189,Gadekar Namdeo Balwantrao,M,Janata Party,Haldhar within Wheel (Chakra),94641,2109,35.01%,GEN,61230
1978,Maharashtra,,190,Patil T. S.,M,Janata Party,Haldhar within Wheel (Chakra),114327,7375,45.45%,GEN,69201
1978,Maharashtra,,191,Uttamrao Keshavrao Patwari ( Bhalerao ),M,Janata Party,Haldhar within Wheel (Chakra),102395,636,34.28%,GEN,56521
1978,Maharashtra,,192,Laxman Eknath Manal,M,Indian National Congress,Hand,124710,13877,44.88%,GEN,58216
1978,Maharashtra,,193,Abdul Azim,M,Indian National Congress (I),Hand,136124,15486,50.90%,GEN,83916
1978,Maharashtra,,194,Gawande Rambhau Eknath,M,Janata Party,Haldhar within Wheel (Chakra),122818,1808,47.01%,GEN,71081
1978,Maharashtra,,195,Bhaurao Abaji Thorat,M,Janata Party,Haldhar within Wheel (Chakra),98058,1542,27.22%,GEN,60081
1978,Maharashtra,,196,Pandit Shivajirao Ankushrao,M,Indian National Congress,Hand,107087,14949,58.10%,GEN,66336
1978,Maharashtra,,197,Solanke Sunderrao Abasaheb,M,Indian National Congress,Hand,123680,8019,52.89%,GEN,82746
1978,Maharashtra,,198,Nawle Aadinath Limbaji,M,Janata Party,Haldhar within Wheel (Chakra),118254,12570,43.20%,GEN,62660
1978,Maharashtra,,199,Jadhav Laxmanrao Vithoba,M,Indian National Congress,Hand,127323,2458,27.55%,GEN,73086
1978,Maharashtra,,200,Kokate Baburao Narsingrao,M,Indian National Congress,Hand,121925,4352,49.50%,GEN,66025
1978,Maharashtra,,201,Satpute Bhaguji Niwarte,M,Independent,Free Symbol,122166,5856,39.78%,SC,47784
1978,Maharashtra,,202,Munde Raghunath Venkatrao,M,Indian National Congress,Hand,116967,3983,48.41%,GEN,75329
1978,Maharashtra,,203,Deshmukh Kishanrao Nanasaheb,M,Peasant'S & Workers' Party,Other,99972,2713,46.15%,GEN,63537
1978,Maharashtra,,204,Jadhav Balasaheb Kishanrao,M,Indian National Congress,Hand,109973,4973,34.96%,GEN,69945
1978,Maharashtra,,205,Kamble Trimbakrao Pandurang,M,Independent,Free Symbol,91796,1067,29.44%,SC,48750
1978,Maharashtra,,206,Patil Shivraj Vishwanath,M,Indian National Congress,Hand,125682,3003,45.12%,GEN,88220
1978,Maharashtra,,207,Ghodke Kundlik Eknath,M,Peasant'S & Workers' Party,Other,101165,3551,35.94%,SC,55600
1978,Maharashtra,,208,Deshmukh Vasudeo Anandrao,M,Janata Party,Haldhar within Wheel (Chakra),109363,1519,34.83%,GEN,65882
